Year,Year Code,Country Name,Country Code,"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]",Population growth (annual %) [SP.POP.GROW],"Population, female [SP.POP.TOTL.FE.IN]","Population, male [SP.POP.TOTL.MA.IN]","Population, total [SP.POP.TOTL]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]",Net migration [SM.POP.NETM]
2000,YR2000,Mauritius,MUS,17,71.6634146341463,68.2,75.3,0.982676166064297,598324,588549,1186873,49.588194544643,50.411805455357,..
2000,YR2000,Mexico,MEX,23.85,74.34,71.668,76.999,1.4410967038977,50341811,48558034,98899845,49.0981901943325,50.9018098056675,..
2000,YR2000,"Micronesia, Fed. Sts.",FSM,29.908,64.55,63.053,66.168,-0.338331161961442,53036,54369,107405,50.6205483916019,49.3794516083981,..
2000,YR2000,Middle East & North Africa,MEA,24.6448599622751,69.8872567466565,68.2541468282604,71.6320771370461,1.90347901763874,154373386,160953395,315326781,51.0433636673636,48.9566363326364,..
2000,YR2000,Middle East & North Africa (excluding high income),MNA,24.7291272181972,69.3546940911735,67.6583685292658,71.1289837270806,1.79682877654237,138220312,141059302,279279614,50.5082703225343,49.4917296774657,..
2000,YR2000,Middle East & North Africa (IDA & IBRD countries),TMN,24.5581393814984,69.3370643049329,67.6385920075191,71.1138066929714,1.7885265884435,136781700,139575761,276357461,50.5055157530196,49.4944842469804,..
2000,YR2000,Middle income,MIC,22.0988382625025,66.379923334273,64.4235196418324,68.5190787084026,1.36110013120334,2282754040,2343582289,4628223941,50.6574126941827,49.3425873058173,..
2000,YR2000,Moldova,MDA,11.298,67.006,63.012,70.964,-0.203364952540417,1524389,1399394,2923783,47.8624366145338,52.1375633854662,..
2000,YR2000,Monaco,MCO,..,..,..,..,0.975251540686916,..,..,32148,..,..,..
2000,YR2000,Mongolia,MNG,19.307,62.869,60.09,65.882,0.887755128845726,1201814,1195603,2397417,49.8704647543585,50.1295352456415,..
2000,YR2000,Montenegro,MNE,13.688,73.228,70.465,76.035,-0.0279740186992493,305790,299160,604950,49.452048543088,50.547951456912,..
2000,YR2000,Morocco,MAR,22.236,68.684,67.108,70.198,1.18140367018639,14524941,14268731,28793672,49.555093216315,50.444906783685,..
2000,YR2000,Mozambique,MOZ,44.769,48.946,46.784,51.029,2.67636782585492,9242786,8469139,17711925,47.8160279021055,52.1839720978945,..
